,option_code,strike_price,call_put,last_tradedate,multiplier,tradedate,underlying_code
0,10003459.SH,3.0,认购,2021-07-28,10000.0,2021-07-01,510050.SH
1,10003455.SH,3.1,认购,2021-07-28,10000.0,2021-07-01,510050.SH
2,10003415.SH,3.2,认购,2021-07-28,10000.0,2021-07-01,510050.SH
3,10003416.SH,3.3,认购,2021-07-28,10000.0,2021-07-01,510050.SH
4,10003417.SH,3.4,认购,2021-07-28,10000.0,2021-07-01,510050.SH
5,10003418.SH,3.5,认购,2021-07-28,10000.0,2021-07-01,510050.SH
6,10003419.SH,3.6,认购,2021-07-28,10000.0,2021-07-01,510050.SH
7,10003420.SH,3.7,认购,2021-07-28,10000.0,2021-07-01,510050.SH
8,10003421.SH,3.8,认购,2021-07-28,10000.0,2021-07-01,510050.SH
9,10003422.SH,3.9,认购,2021-07-28,10000.0,2021-07-01,510050.SH
10,10003423.SH,4.0,认购,2021-07-28,10000.0,2021-07-01,510050.SH
11,10003451.SH,4.1,认购,2021-07-28,10000.0,2021-07-01,510050.SH
12,10003460.SH,3.0,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
13,10003456.SH,3.1,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
14,10003424.SH,3.2,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
15,10003425.SH,3.3,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
16,10003426.SH,3.4,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
17,10003427.SH,3.5,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
18,10003428.SH,3.6,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
19,10003429.SH,3.7,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
20,10003430.SH,3.8,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
21,10003431.SH,3.9,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
22,10003432.SH,4.0,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
23,10003452.SH,4.1,认沽,2021-07-28,10000.0,2021-07-01,510050.SH
24,10003461.SH,3.1,认购,2021-08-25,10000.0,2021-07-01,510050.SH
25,10003462.SH,3.2,认购,2021-08-25,10000.0,2021-07-01,510050.SH
26,10003463.SH,3.3,认购,2021-08-25,10000.0,2021-07-01,510050.SH
27,10003464.SH,3.4,认购,2021-08-25,10000.0,2021-07-01,510050.SH
28,10003465.SH,3.5,认购,2021-08-25,10000.0,2021-07-01,510050.SH
29,10003466.SH,3.6,认购,2021-08-25,10000.0,2021-07-01,510050.SH
30,10003467.SH,3.7,认购,2021-08-25,10000.0,2021-07-01,510050.SH
31,10003468.SH,3.8,认购,2021-08-25,10000.0,2021-07-01,510050.SH
32,10003469.SH,3.9,认购,2021-08-25,10000.0,2021-07-01,510050.SH
33,10003470.SH,3.1,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
34,10003471.SH,3.2,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
35,10003472.SH,3.3,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
36,10003473.SH,3.4,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
37,10003474.SH,3.5,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
38,10003475.SH,3.6,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
39,10003476.SH,3.7,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
40,10003477.SH,3.8,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
41,10003478.SH,3.9,认沽,2021-08-25,10000.0,2021-07-01,510050.SH
42,10003371.SH,3.0,认购,2021-09-22,10000.0,2021-07-01,510050.SH
43,10003317.SH,3.1,认购,2021-09-22,10000.0,2021-07-01,510050.SH
44,10003305.SH,3.2,认购,2021-09-22,10000.0,2021-07-01,510050.SH
45,10003241.SH,3.3,认购,2021-09-22,10000.0,2021-07-01,510050.SH
46,10003205.SH,3.4,认购,2021-09-22,10000.0,2021-07-01,510050.SH
47,10003206.SH,3.5,认购,2021-09-22,10000.0,2021-07-01,510050.SH
48,10003207.SH,3.6,认购,2021-09-22,10000.0,2021-07-01,510050.SH
49,10003208.SH,3.7,认购,2021-09-22,10000.0,2021-07-01,510050.SH
50,10003209.SH,3.8,认购,2021-09-22,10000.0,2021-07-01,510050.SH
51,10003210.SH,3.9,认购,2021-09-22,10000.0,2021-07-01,510050.SH
52,10003211.SH,4.0,认购,2021-09-22,10000.0,2021-07-01,510050.SH
53,10003212.SH,4.1,认购,2021-09-22,10000.0,2021-07-01,510050.SH
54,10003213.SH,4.2,认购,2021-09-22,10000.0,2021-07-01,510050.SH
55,10003251.SH,4.3,认购,2021-09-22,10000.0,2021-07-01,510050.SH
56,10003261.SH,4.4,认购,2021-09-22,10000.0,2021-07-01,510050.SH
57,10003372.SH,3.0,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
58,10003318.SH,3.1,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
59,10003306.SH,3.2,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
60,10003242.SH,3.3,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
61,10003214.SH,3.4,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
62,10003215.SH,3.5,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
63,10003216.SH,3.6,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
64,10003217.SH,3.7,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
65,10003218.SH,3.8,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
66,10003219.SH,3.9,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
67,10003220.SH,4.0,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
68,10003221.SH,4.1,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
69,10003222.SH,4.2,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
70,10003252.SH,4.3,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
71,10003262.SH,4.4,认沽,2021-09-22,10000.0,2021-07-01,510050.SH
72,10003409.SH,3.0,认购,2021-12-22,10000.0,2021-07-01,510050.SH
73,10003373.SH,3.1,认购,2021-12-22,10000.0,2021-07-01,510050.SH
74,10003374.SH,3.2,认购,2021-12-22,10000.0,2021-07-01,510050.SH
75,10003375.SH,3.3,认购,2021-12-22,10000.0,2021-07-01,510050.SH
76,10003376.SH,3.4,认购,2021-12-22,10000.0,2021-07-01,510050.SH
77,10003377.SH,3.5,认购,2021-12-22,10000.0,2021-07-01,510050.SH
78,10003378.SH,3.6,认购,2021-12-22,10000.0,2021-07-01,510050.SH
79,10003379.SH,3.7,认购,2021-12-22,10000.0,2021-07-01,510050.SH
80,10003380.SH,3.8,认购,2021-12-22,10000.0,2021-07-01,510050.SH
81,10003381.SH,3.9,认购,2021-12-22,10000.0,2021-07-01,510050.SH
82,10003413.SH,4.0,认购,2021-12-22,10000.0,2021-07-01,510050.SH
