,tradedate,option_code,call_put,strike_price,last_tradedate,price,underlying_code,close
2200,2021-08-02,10003512.SH,认沽,2.9,2021-08-25,0.003,510050.SH,3.242
2201,2021-08-02,10003504.SH,认沽,2.95,2021-08-25,0.0044,510050.SH,3.242
2202,2021-08-02,10003498.SH,认沽,3.0,2021-08-25,0.0074,510050.SH,3.242
2203,2021-08-02,10003470.SH,认沽,3.1,2021-08-25,0.0168,510050.SH,3.242
2204,2021-08-02,10003471.SH,认沽,3.2,2021-08-25,0.0423,510050.SH,3.242
2205,2021-08-02,10003472.SH,认沽,3.3,2021-08-25,0.0952,510050.SH,3.242
2206,2021-08-02,10003473.SH,认沽,3.4,2021-08-25,0.1711,510050.SH,3.242
2207,2021-08-02,10003474.SH,认沽,3.5,2021-08-25,0.2662,510050.SH,3.242
2208,2021-08-02,10003475.SH,认沽,3.6,2021-08-25,0.3611,510050.SH,3.242
2209,2021-08-02,10003476.SH,认沽,3.7,2021-08-25,0.465,510050.SH,3.242
2210,2021-08-02,10003477.SH,认沽,3.8,2021-08-25,0.5631,510050.SH,3.242
2211,2021-08-02,10003478.SH,认沽,3.9,2021-08-25,0.6618,510050.SH,3.242
2229,2021-08-02,10003514.SH,认沽,2.9,2021-09-22,0.0089,510050.SH,3.242
2230,2021-08-02,10003506.SH,认沽,2.95,2021-09-22,0.0126,510050.SH,3.242
2231,2021-08-02,10003372.SH,认沽,3.0,2021-09-22,0.0177,510050.SH,3.242
2232,2021-08-02,10003318.SH,认沽,3.1,2021-09-22,0.0358,510050.SH,3.242
2233,2021-08-02,10003306.SH,认沽,3.2,2021-09-22,0.07,510050.SH,3.242
2234,2021-08-02,10003242.SH,认沽,3.3,2021-09-22,0.1194,510050.SH,3.242
2235,2021-08-02,10003214.SH,认沽,3.4,2021-09-22,0.193,510050.SH,3.242
2236,2021-08-02,10003215.SH,认沽,3.5,2021-09-22,0.2807,510050.SH,3.242
2237,2021-08-02,10003216.SH,认沽,3.6,2021-09-22,0.3664,510050.SH,3.242
2238,2021-08-02,10003217.SH,认沽,3.7,2021-09-22,0.4658,510050.SH,3.242
2239,2021-08-02,10003218.SH,认沽,3.8,2021-09-22,0.5694,510050.SH,3.242
2240,2021-08-02,10003219.SH,认沽,3.9,2021-09-22,0.668,510050.SH,3.242
2241,2021-08-02,10003220.SH,认沽,4.0,2021-09-22,0.7531,510050.SH,3.242
2242,2021-08-02,10003221.SH,认沽,4.1,2021-09-22,0.8534,510050.SH,3.242
2243,2021-08-02,10003222.SH,认沽,4.2,2021-09-22,0.9532,510050.SH,3.242
2244,2021-08-02,10003252.SH,认沽,4.3,2021-09-22,1.05,510050.SH,3.242
2245,2021-08-02,10003262.SH,认沽,4.4,2021-09-22,1.152,510050.SH,3.242
2260,2021-08-02,10003516.SH,认沽,2.9,2021-12-22,0.0365,510050.SH,3.242
2261,2021-08-02,10003508.SH,认沽,2.95,2021-12-22,0.0454,510050.SH,3.242
2262,2021-08-02,10003410.SH,认沽,3.0,2021-12-22,0.0562,510050.SH,3.242
2263,2021-08-02,10003382.SH,认沽,3.1,2021-12-22,0.0855,510050.SH,3.242
2264,2021-08-02,10003383.SH,认沽,3.2,2021-12-22,0.1267,510050.SH,3.242
2265,2021-08-02,10003384.SH,认沽,3.3,2021-12-22,0.1818,510050.SH,3.242
2266,2021-08-02,10003385.SH,认沽,3.4,2021-12-22,0.245,510050.SH,3.242
2267,2021-08-02,10003386.SH,认沽,3.5,2021-12-22,0.3187,510050.SH,3.242
2268,2021-08-02,10003387.SH,认沽,3.6,2021-12-22,0.4041,510050.SH,3.242
2269,2021-08-02,10003388.SH,认沽,3.7,2021-12-22,0.4886,510050.SH,3.242
2270,2021-08-02,10003389.SH,认沽,3.8,2021-12-22,0.5799,510050.SH,3.242
2271,2021-08-02,10003390.SH,认沽,3.9,2021-12-22,0.6735,510050.SH,3.242
2272,2021-08-02,10003414.SH,认沽,4.0,2021-12-22,0.7653,510050.SH,3.242
2273,2021-08-02,10003454.SH,认沽,4.1,2021-12-22,0.8625,510050.SH,3.242
2283,2021-08-02,10003540.SH,认沽,2.9,2022-03-23,0.059,510050.SH,3.242
2284,2021-08-02,10003541.SH,认沽,2.95,2022-03-23,0.0712,510050.SH,3.242
2285,2021-08-02,10003542.SH,认沽,3.0,2022-03-23,0.085,510050.SH,3.242
2286,2021-08-02,10003543.SH,认沽,3.1,2022-03-23,0.1211,510050.SH,3.242
2287,2021-08-02,10003544.SH,认沽,3.2,2022-03-23,0.1642,510050.SH,3.242
2288,2021-08-02,10003545.SH,认沽,3.3,2022-03-23,0.2168,510050.SH,3.242
2289,2021-08-02,10003546.SH,认沽,3.4,2022-03-23,0.2781,510050.SH,3.242
2290,2021-08-02,10003547.SH,认沽,3.5,2022-03-23,0.347,510050.SH,3.242
2291,2021-08-02,10003548.SH,认沽,3.6,2022-03-23,0.4223,510050.SH,3.242
