,param,mean_square_error
0,"[-1.0, 0.0, 0.0]",0.013713258830893651
1,"[-1.0, 0.0, 0.1]",0.01386266435449688
2,"[-1.0, 0.0, 0.2]",0.014053238111189633
3,"[-1.0, 0.0, 0.30000000000000004]",0.014350339256866552
4,"[-1.0, 0.0, 0.4]",0.014851246803364629
5,"[-1.0, 0.0, 0.5]",0.015550973902305488
6,"[-1.0, 0.0, 0.6000000000000001]",0.01638380566607731
7,"[-1.0, 0.0, 0.7000000000000001]",0.017270510712035825
8,"[-1.0, 0.0, 0.8]",0.018150292679897737
9,"[-1.0, 0.0, 0.9]",0.0189871087700013
10,"[-1.0, 0.0, 1.0]",0.019763752635953924
11,"[-1.0, 0.5, 0.0]",0.013818807043887141
12,"[-1.0, 0.5, 0.1]",0.013968133391403292
13,"[-1.0, 0.5, 0.2]",0.014164648063847072
14,"[-1.0, 0.5, 0.30000000000000004]",0.014461438216879067
15,"[-1.0, 0.5, 0.4]",0.014938482136216208
16,"[-1.0, 0.5, 0.5]",0.015588766525014168
17,"[-1.0, 0.5, 0.6000000000000001]",0.016354415727820825
18,"[-1.0, 0.5, 0.7000000000000001]",0.017169518751990808
19,"[-1.0, 0.5, 0.8]",0.017982708860012936
20,"[-1.0, 0.5, 0.9]",0.0187621259119571
21,"[-1.0, 0.5, 1.0]",0.01949147256771618
22,"[-1.0, 1.0, 0.0]",0.013932715665640912
23,"[-1.0, 1.0, 0.1]",0.014079924323340808
24,"[-1.0, 1.0, 0.2]",0.01427822786187391
25,"[-1.0, 1.0, 0.30000000000000004]",0.014570336607324146
26,"[-1.0, 1.0, 0.4]",0.015019112898642686
27,"[-1.0, 1.0, 0.5]",0.015617831082193044
28,"[-1.0, 1.0, 0.6000000000000001]",0.016317144610663196
29,"[-1.0, 1.0, 0.7000000000000001]",0.017062476252722787
30,"[-1.0, 1.0, 0.8]",0.01781080594081594
31,"[-1.0, 1.0, 0.9]",0.0185343714767102
32,"[-1.0, 1.0, 1.0]",0.01921798720754583
33,"[-1.0, 1.5, 0.0]",0.014048004690857423
34,"[-1.0, 1.5, 0.1]",0.014191742337633925
35,"[-1.0, 1.5, 0.2]",0.014388647495560977
36,"[-1.0, 1.5, 0.30000000000000004]",0.014672674975230206
37,"[-1.0, 1.5, 0.4]",0.015091783322277123
38,"[-1.0, 1.5, 0.5]",0.015640307461981945
39,"[-1.0, 1.5, 0.6000000000000001]",0.01627734535311841
40,"[-1.0, 1.5, 0.7000000000000001]",0.016957932215726692
41,"[-1.0, 1.5, 0.8]",0.017646103740186846
42,"[-1.0, 1.5, 0.9]",0.01831771074443707
43,"[-1.0, 1.5, 1.0]",0.018958621975646836
44,"[-0.8, 0.0, 0.0]",0.013713258830893651
45,"[-0.8, 0.0, 0.1]",0.013837434410570242
46,"[-0.8, 0.0, 0.2]",0.014010431658795033
47,"[-0.8, 0.0, 0.30000000000000004]",0.014275133154468976
48,"[-0.8, 0.0, 0.4]",0.014666505536350615
49,"[-0.8, 0.0, 0.5]",0.01516999748515855
50,"[-0.8, 0.0, 0.6000000000000001]",0.01574614235329409
51,"[-0.8, 0.0, 0.7000000000000001]",0.016354819953247855
52,"[-0.8, 0.0, 0.8]",0.01696614979460144
53,"[-0.8, 0.0, 0.9]",0.017561373658344398
54,"[-0.8, 0.0, 1.0]",0.018130131083587533
55,"[-0.8, 0.5, 0.0]",0.013818807043887141
56,"[-0.8, 0.5, 0.1]",0.013943151165801927
57,"[-0.8, 0.5, 0.2]",0.01411922898848632
58,"[-0.8, 0.5, 0.30000000000000004]",0.014379937365900434
59,"[-0.8, 0.5, 0.4]",0.01475099101031334
60,"[-0.8, 0.5, 0.5]",0.015218017522235054
61,"[-0.8, 0.5, 0.6000000000000001]",0.015747957779094164
62,"[-0.8, 0.5, 0.7000000000000001]",0.016308118041357556
63,"[-0.8, 0.5, 0.8]",0.016873598794009396
64,"[-0.8, 0.5, 0.9]",0.017428015390560884
65,"[-0.8, 0.5, 1.0]",0.017961693117042227
66,"[-0.8, 1.0, 0.0]",0.013932715665640912
67,"[-0.8, 1.0, 0.1]",0.014055197073274359
68,"[-0.8, 1.0, 0.2]",0.014230357930495097
69,"[-0.8, 1.0, 0.30000000000000004]",0.01448304672073438
70,"[-0.8, 1.0, 0.4]",0.014831781316627728
71,"[-0.8, 1.0, 0.5]",0.015263681161320233
72,"[-0.8, 1.0, 0.6000000000000001]",0.015751151422208898
73,"[-0.8, 1.0, 0.7000000000000001]",0.016267156807564062
74,"[-0.8, 1.0, 0.8]",0.01679069476520827
75,"[-0.8, 1.0, 0.9]",0.01730738007324175
76,"[-0.8, 1.0, 1.0]",0.01780822288825525
77,"[-0.8, 1.5, 0.0]",0.014048004690857423
78,"[-0.8, 1.5, 0.1]",0.014167329863585114
79,"[-0.8, 1.5, 0.2]",0.014338904442919428
80,"[-0.8, 1.5, 0.30000000000000004]",0.014581263309757724
81,"[-0.8, 1.5, 0.4]",0.014907458387664116
82,"[-0.8, 1.5, 0.5]",0.01530640707330848
83,"[-0.8, 1.5, 0.6000000000000001]",0.01575516690287169
84,"[-0.8, 1.5, 0.7000000000000001]",0.01623115711488617
85,"[-0.8, 1.5, 0.8]",0.01671647832724231
86,"[-0.8, 1.5, 0.9]",0.01719843412939016
87,"[-0.8, 1.5, 1.0]",0.017668696784033138
88,"[-0.6, 0.0, 0.0]",0.013713258830893651
89,"[-0.6, 0.0, 0.1]",0.013811702905770565
90,"[-0.6, 0.0, 0.2]",0.013959837221062874
91,"[-0.6, 0.0, 0.30000000000000004]",0.01418552212471777
92,"[-0.6, 0.0, 0.4]",0.014503816739765609
93,"[-0.6, 0.0, 0.5]",0.014902473672092735
94,"[-0.6, 0.0, 0.6000000000000001]",0.01535609939887502
95,"[-0.6, 0.0, 0.7000000000000001]",0.015839140243949168
96,"[-0.6, 0.0, 0.8]",0.01633162665836706
97,"[-0.6, 0.0, 0.9]",0.016819888385424402
98,"[-0.6, 0.0, 1.0]",0.017295347294791284
99,"[-0.6, 0.5, 0.0]",0.013818807043887141
100,"[-0.6, 0.5, 0.1]",0.013917800675937501
101,"[-0.6, 0.5, 0.2]",0.014068268875287128
102,"[-0.6, 0.5, 0.30000000000000004]",0.014290102111738796
103,"[-0.6, 0.5, 0.4]",0.014592171892533439
104,"[-0.6, 0.5, 0.5]",0.014962243838564093
105,"[-0.6, 0.5, 0.6000000000000001]",0.015379148036712472
106,"[-0.6, 0.5, 0.7000000000000001]",0.015822266678879326
107,"[-0.6, 0.5, 0.8]",0.01627526354217672
108,"[-0.6, 0.5, 0.9]",0.016726562105255763
109,"[-0.6, 0.5, 1.0]",0.017168549936051675
110,"[-0.6, 1.0, 0.0]",0.013932715665640912
111,"[-0.6, 1.0, 0.1]",0.014030275581528025
112,"[-0.6, 1.0, 0.2]",0.01417908913139957
113,"[-0.6, 1.0, 0.30000000000000004]",0.01439306711053105
114,"[-0.6, 1.0, 0.4]",0.014677043962839871
115,"[-0.6, 1.0, 0.5]",0.015019703106490954
116,"[-0.6, 1.0, 0.6000000000000001]",0.01540325752514792
117,"[-0.6, 1.0, 0.7000000000000001]",0.015810701840528588
118,"[-0.6, 1.0, 0.8]",0.01622841337172714
119,"[-0.6, 1.0, 0.9]",0.016646461979564015
120,"[-0.6, 1.0, 1.0]",0.01705805759679911
121,"[-0.6, 1.5, 0.0]",0.014048004690857423
122,"[-0.6, 1.5, 0.1]",0.014142904123791156
123,"[-0.6, 1.5, 0.2]",0.014287604198766325
124,"[-0.6, 1.5, 0.30000000000000004]",0.014491626992022154
125,"[-0.6, 1.5, 0.4]",0.014757172516231841
126,"[-0.6, 1.5, 0.5]",0.015074137932277052
127,"[-0.6, 1.5, 0.6000000000000001]",0.015427512126834686
128,"[-0.6, 1.5, 0.7000000000000001]",0.015803038735935193
129,"[-0.6, 1.5, 0.8]",0.01618916859521769
130,"[-0.6, 1.5, 0.9]",0.0165772813398034
131,"[-0.6, 1.5, 1.0]",0.016961283966781437
132,"[-0.3999999999999999, 0.0, 0.0]",0.013713258830893651
133,"[-0.3999999999999999, 0.0, 0.1]",0.013785567874999679
134,"[-0.3999999999999999, 0.0, 0.2]",0.013906424539801501
135,"[-0.3999999999999999, 0.0, 0.30000000000000004]",0.014095158079943567
136,"[-0.3999999999999999, 0.0, 0.4]",0.014359933490144836
137,"[-0.3999999999999999, 0.0, 0.5]",0.014691371868377358
138,"[-0.3999999999999999, 0.0, 0.6000000000000001]",0.015071141525954965
139,"[-0.3999999999999999, 0.0, 0.7000000000000001]",0.015480262095105779
140,"[-0.3999999999999999, 0.0, 0.8]",0.015903123632749233
141,"[-0.3999999999999999, 0.0, 0.9]",0.016328314617773423
142,"[-0.3999999999999999, 0.0, 1.0]",0.016748071788885356
143,"[-0.3999999999999999, 0.5, 0.0]",0.013818807043887141
144,"[-0.3999999999999999, 0.5, 0.1]",0.013892173767386967
145,"[-0.3999999999999999, 0.5, 0.2]",0.014015594681245223
146,"[-0.3999999999999999, 0.5, 0.30000000000000004]",0.014201520288813678
147,"[-0.3999999999999999, 0.5, 0.4]",0.014453025069928313
148,"[-0.3999999999999999, 0.5, 0.5]",0.01476047298258028
149,"[-0.3999999999999999, 0.5, 0.6000000000000001]",0.015108657811416884
150,"[-0.3999999999999999, 0.5, 0.7000000000000001]",0.015482441803118661
151,"[-0.3999999999999999, 0.5, 0.8]",0.01586926360609143
152,"[-0.3999999999999999, 0.5, 0.9]",0.01625967404975966
153,"[-0.3999999999999999, 0.5, 1.0]",0.016646993153737147
154,"[-0.3999999999999999, 1.0, 0.0]",0.013932715665640912
155,"[-0.3999999999999999, 1.0, 0.1]",0.014005238327294358
156,"[-0.3999999999999999, 1.0, 0.2]",0.01412719009881385
157,"[-0.3999999999999999, 1.0, 0.30000000000000004]",0.014306260595241501
158,"[-0.3999999999999999, 1.0, 0.4]",0.014542579718774103
159,"[-0.3999999999999999, 1.0, 0.5]",0.014826973531415353
160,"[-0.3999999999999999, 1.0, 0.6000000000000001]",0.015146624619806018
161,"[-0.3999999999999999, 1.0, 0.7000000000000001]",0.015489128715432827
162,"[-0.3999999999999999, 1.0, 0.8]",0.015844140463999797
163,"[-0.3999999999999999, 1.0, 0.9]",0.016203705299364886
164,"[-0.3999999999999999, 1.0, 1.0]",0.016562020965779033
165,"[-0.3999999999999999, 1.5, 0.0]",0.014048004690857423
166,"[-0.3999999999999999, 1.5, 0.1]",0.014118525720668141
167,"[-0.3999999999999999, 1.5, 0.2]",0.01423662444912047
168,"[-0.3999999999999999, 1.5, 0.30000000000000004]",0.014406759743034998
169,"[-0.3999999999999999, 1.5, 0.4]",0.014627401032391648
170,"[-0.3999999999999999, 1.5, 0.5]",0.01489013731740881
171,"[-0.3999999999999999, 1.5, 0.6000000000000001]",0.015184053884607652
172,"[-0.3999999999999999, 1.5, 0.7000000000000001]",0.015498770582925404
173,"[-0.3999999999999999, 1.5, 0.8]",0.015825592627380328
174,"[-0.3999999999999999, 1.5, 0.9]",0.016157716861159913
175,"[-0.3999999999999999, 1.5, 1.0]",0.01649005223195922
176,"[-0.19999999999999996, 0.0, 0.0]",0.013713258830893651
177,"[-0.19999999999999996, 0.0, 0.1]",0.013759107866704512
178,"[-0.19999999999999996, 0.0, 0.2]",0.013851839564862665
179,"[-0.19999999999999996, 0.0, 0.30000000000000004]",0.014007089535806963
180,"[-0.19999999999999996, 0.0, 0.4]",0.014231736337252218
181,"[-0.19999999999999996, 0.0, 0.5]",0.014518596271831937
182,"[-0.19999999999999996, 0.0, 0.6000000000000001]",0.014852512763392882
183,"[-0.19999999999999996, 0.0, 0.7000000000000001]",0.015217178124072401
184,"[-0.19999999999999996, 0.0, 0.8]",0.01559868988470833
185,"[-0.19999999999999996, 0.0, 0.9]",0.0159864845227312
186,"[-0.19999999999999996, 0.0, 1.0]",0.016373056234372317
187,"[-0.19999999999999996, 0.5, 0.0]",0.013818807043887141
188,"[-0.19999999999999996, 0.5, 0.1]",0.01386633180965053
189,"[-0.19999999999999996, 0.5, 0.2]",0.013962465808016423
190,"[-0.19999999999999996, 0.5, 0.30000000000000004]",0.01411635965891859
191,"[-0.19999999999999996, 0.5, 0.4]",0.014329894790299804
192,"[-0.19999999999999996, 0.5, 0.5]",0.014595421212611573
193,"[-0.19999999999999996, 0.5, 0.6000000000000001]",0.014900492283923199
194,"[-0.19999999999999996, 0.5, 0.7000000000000001]",0.015232234426755566
195,"[-0.19999999999999996, 0.5, 0.8]",0.015579566112842065
196,"[-0.19999999999999996, 0.5, 0.9]",0.015933831237794745
197,"[-0.19999999999999996, 0.5, 1.0]",0.01628865446391352
198,"[-0.19999999999999996, 1.0, 0.0]",0.013932715665640912
199,"[-0.19999999999999996, 1.0, 0.1]",0.013980130389681615
200,"[-0.19999999999999996, 1.0, 0.2]",0.014075561390484092
201,"[-0.19999999999999996, 1.0, 0.30000000000000004]",0.014223926743510319
202,"[-0.19999999999999996, 1.0, 0.4]",0.01442434307073683
203,"[-0.19999999999999996, 1.0, 0.5]",0.014669323645197137
204,"[-0.19999999999999996, 1.0, 0.6000000000000001]",0.01494841581810853
205,"[-0.19999999999999996, 1.0, 0.7000000000000001]",0.015251154751764437
206,"[-0.19999999999999996, 1.0, 0.8]",0.015568491771424275
207,"[-0.19999999999999996, 1.0, 0.9]",0.015893210187731825
208,"[-0.19999999999999996, 1.0, 1.0]",0.016219838244876654
209,"[-0.19999999999999996, 1.5, 0.0]",0.014048004690857423
210,"[-0.19999999999999996, 1.5, 0.1]",0.014094224621890503
211,"[-0.19999999999999996, 1.5, 0.2]",0.014186561086782672
212,"[-0.19999999999999996, 1.5, 0.30000000000000004]",0.014327235246275945
213,"[-0.19999999999999996, 1.5, 0.4]",0.014513904719916836
214,"[-0.19999999999999996, 1.5, 0.5]",0.01473955271469817
215,"[-0.19999999999999996, 1.5, 0.6000000000000001]",0.014995269941080957
216,"[-0.19999999999999996, 1.5, 0.7000000000000001]",0.015272347186950355
217,"[-0.19999999999999996, 1.5, 0.8]",0.01556323510723059
218,"[-0.19999999999999996, 1.5, 0.9]",0.015861815985613502
219,"[-0.19999999999999996, 1.5, 1.0]",0.016163341062286698
220,"[0.0, 0.0, 0.0]",0.013713258830893651
221,"[0.0, 0.0, 0.1]",0.013732378605163397
222,"[0.0, 0.0, 0.2]",0.01379661894066931
223,"[0.0, 0.0, 0.30000000000000004]",0.013921489490107167
224,"[0.0, 0.0, 0.4]",0.014116004816418719
225,"[0.0, 0.0, 0.5]",0.01437461854548925
226,"[0.0, 0.0, 0.6000000000000001]",0.01468275846169718
227,"[0.0, 0.0, 0.7000000000000001]",0.01502423501899038
228,"[0.0, 0.0, 0.8]",0.015385084520466231
229,"[0.0, 0.0, 0.9]",0.0157545959951019
230,"[0.0, 0.0, 1.0]",0.016125071244140483
231,"[0.0, 0.5, 0.0]",0.013818807043887141
232,"[0.0, 0.5, 0.1]",0.013840309899125396
233,"[0.0, 0.5, 0.2]",0.013909251548377362
234,"[0.0, 0.5, 0.30000000000000004]",0.014034598221403306
235,"[0.0, 0.5, 0.4]",0.014219710789979974
236,"[0.0, 0.5, 0.5]",0.014458366461875285
237,"[0.0, 0.5, 0.6000000000000001]",0.014738765258051829
238,"[0.0, 0.5, 0.7000000000000001]",0.015048204672444313
239,"[0.0, 0.5, 0.8]",0.015375565026549147
240,"[0.0, 0.5, 0.9]",0.015712059544130044
241,"[0.0, 0.5, 1.0]",0.016051140321169746
242,"[0.0, 1.0, 0.0]",0.013932715665640912
243,"[0.0, 1.0, 0.1]",0.01395497118052915
244,"[0.0, 1.0, 0.2]",0.014024426146117815
245,"[0.0, 1.0, 0.30000000000000004]",0.014145841736378768
246,"[0.0, 1.0, 0.4]",0.01431940030260584
247,"[0.0, 1.0, 0.5]",0.014538818040252338
248,"[0.0, 1.0, 0.6000000000000001]",0.014794286650133597
249,"[0.0, 1.0, 0.7000000000000001]",0.0150755513423417
250,"[0.0, 1.0, 0.8]",0.01537355561137098
251,"[0.0, 1.0, 0.9]",0.01568097591698482
252,"[0.0, 1.0, 1.0]",0.015992190140376082
253,"[0.0, 1.5, 0.0]",0.014048004690857423
254,"[0.0, 1.5, 0.1]",0.01407000836582134
255,"[0.0, 1.5, 0.2]",0.014137519329539293
256,"[0.0, 1.5, 0.30000000000000004]",0.014252662466049485
257,"[0.0, 1.5, 0.4]",0.014413896740207587
258,"[0.0, 1.5, 0.5]",0.01461520642842922
259,"[0.0, 1.5, 0.6000000000000001]",0.014848290172692954
260,"[0.0, 1.5, 0.7000000000000001]",0.015104672314382997
261,"[0.0, 1.5, 0.8]",0.015376825310566259
262,"[0.0, 1.5, 0.9]",0.015658550634305456
263,"[0.0, 1.5, 1.0]",0.01594497218477378
264,"[0.20000000000000018, 0.0, 0.0]",0.013713258830893651
265,"[0.20000000000000018, 0.0, 0.1]",0.013705418019245111
266,"[0.20000000000000018, 0.0, 0.2]",0.013740781092133598
267,"[0.20000000000000018, 0.0, 0.30000000000000004]",0.013837331149190717
268,"[0.20000000000000018, 0.0, 0.4]",0.014009531455256621
269,"[0.20000000000000018, 0.0, 0.5]",0.014253537882627482
270,"[0.20000000000000018, 0.0, 0.6000000000000001]",0.0145532295630554
271,"[0.20000000000000018, 0.0, 0.7000000000000001]",0.014890254375897354
272,"[0.20000000000000018, 0.0, 0.8]",0.015248955699756308
273,"[0.20000000000000018, 0.0, 0.9]",0.015617520358580208
274,"[0.20000000000000018, 0.0, 1.0]",0.015987592818644442
275,"[0.20000000000000018, 0.5, 0.0]",0.013818807043887141
276,"[0.20000000000000018, 0.5, 0.1]",0.013814123011941902
277,"[0.20000000000000018, 0.5, 0.2]",0.013855883510672615
278,"[0.20000000000000018, 0.5, 0.30000000000000004]",0.013955274708026245
279,"[0.20000000000000018, 0.5, 0.4]",0.01411962703870279
280,"[0.20000000000000018, 0.5, 0.5]",0.014344062495151026
281,"[0.20000000000000018, 0.5, 0.6000000000000001]",0.01461573082222337
282,"[0.20000000000000018, 0.5, 0.7000000000000001]",0.014920259580621145
283,"[0.20000000000000018, 0.5, 0.8]",0.015245103699874264
284,"[0.20000000000000018, 0.5, 0.9]",0.015580470789692566
285,"[0.20000000000000018, 0.5, 1.0]",0.015919162373496113
286,"[0.20000000000000018, 1.0, 0.0]",0.013932715665640912
287,"[0.20000000000000018, 1.0, 0.1]",0.013929760402896832
288,"[0.20000000000000018, 1.0, 0.2]",0.013973660373045572
289,"[0.20000000000000018, 1.0, 0.30000000000000004]",0.014071102721235665
290,"[0.20000000000000018, 1.0, 0.4]",0.014225221587601653
291,"[0.20000000000000018, 1.0, 0.5]",0.014430804404514306
292,"[0.20000000000000018, 1.0, 0.6000000000000001]",0.01467732797847526
293,"[0.20000000000000018, 1.0, 0.7000000000000001]",0.014953247954485167
294,"[0.20000000000000018, 1.0, 0.8]",0.015248319961581028
295,"[0.20000000000000018, 1.0, 0.9]",0.015554322763223882
296,"[0.20000000000000018, 1.0, 1.0]",0.015865013001732993
297,"[0.20000000000000018, 1.5, 0.0]",0.014048004690857423
298,"[0.20000000000000018, 1.5, 0.1]",0.014045867038291412
299,"[0.20000000000000018, 1.5, 0.2]",0.014089343070839897
300,"[0.20000000000000018, 1.5, 0.30000000000000004]",0.014182197952251042
301,"[0.20000000000000018, 1.5, 0.4]",0.01432512778102806
302,"[0.20000000000000018, 1.5, 0.5]",0.014512980688132051
303,"[0.20000000000000018, 1.5, 0.6000000000000001]",0.014736969730897739
