,param,mean_square_error
0,"[0.0, 0.1, 0.0, -1.0, 0.0]",0.49141814530905203
1,"[0.0, 0.1, 0.0, -1.0, 0.2]",0.491449950950687
2,"[0.0, 0.1, 0.0, -1.0, 0.4]",0.49154177294633866
3,"[0.0, 0.1, 0.0, -1.0, 0.6000000000000001]",0.49157993820116275
4,"[0.0, 0.1, 0.0, -1.0, 0.8]",0.4913987394234451
5,"[0.0, 0.1, 0.0, -1.0, 1.0]",0.4909193512360258
6,"[0.0, 0.1, 0.0, -0.8, 0.0]",0.4917790647215723
7,"[0.0, 0.1, 0.0, -0.8, 0.2]",0.49182071348583933
8,"[0.0, 0.1, 0.0, -0.8, 0.4]",0.4919104020453911
9,"[0.0, 0.1, 0.0, -0.8, 0.6000000000000001]",0.4918299077473423
10,"[0.0, 0.1, 0.0, -0.8, 0.8]",0.4914450856735428
11,"[0.0, 0.1, 0.0, -0.8, 1.0]",0.49071768388667636
12,"[0.0, 0.1, 0.0, -0.6, 0.0]",0.49225291862955656
13,"[0.0, 0.1, 0.0, -0.6, 0.2]",0.4923064260264006
14,"[0.0, 0.1, 0.0, -0.6, 0.4]",0.492322307162344
15,"[0.0, 0.1, 0.0, -0.6, 0.6000000000000001]",0.49201479520149227
16,"[0.0, 0.1, 0.0, -0.6, 0.8]",0.4913545233873766
17,"[0.0, 0.1, 0.0, -0.6, 1.0]",0.49033091161342385
18,"[0.0, 0.1, 0.0, -0.3999999999999999, 0.0]",0.4928810394074681
19,"[0.0, 0.1, 0.0, -0.3999999999999999, 0.2]",0.4929222517458972
20,"[0.0, 0.1, 0.0, -0.3999999999999999, 0.4]",0.49268872022113763
21,"[0.0, 0.1, 0.0, -0.3999999999999999, 0.6000000000000001]",0.49204214908796706
22,"[0.0, 0.1, 0.0, -0.3999999999999999, 0.8]",0.49105259950116453
23,"[0.0, 0.1, 0.0, -0.3999999999999999, 1.0]",0.4897011399762843
24,"[0.0, 0.1, 0.0, -0.19999999999999996, 0.0]",0.49370910241954014
25,"[0.0, 0.1, 0.0, -0.19999999999999996, 0.2]",0.4935433097135475
26,"[0.0, 0.1, 0.0, -0.19999999999999996, 0.4]",0.4928357399709035
27,"[0.0, 0.1, 0.0, -0.19999999999999996, 0.6000000000000001]",0.4917946425660783
28,"[0.0, 0.1, 0.0, -0.19999999999999996, 0.8]",0.49045943758308047
29,"[0.0, 0.1, 0.0, -0.19999999999999996, 1.0]",0.4887751160544274
30,"[0.0, 0.1, 0.0, 0.0, 0.0]",0.4943966382006799
31,"[0.0, 0.1, 0.0, 0.0, 0.2]",0.49370663201470777
32,"[0.0, 0.1, 0.0, 0.0, 0.4]",0.4925382701044971
33,"[0.0, 0.1, 0.0, 0.0, 0.6000000000000001]",0.49115321761677855
34,"[0.0, 0.1, 0.0, 0.0, 0.8]",0.4895042720111687
35,"[0.0, 0.1, 0.0, 0.0, 1.0]",0.48751797636766947
36,"[0.0, 0.1, 0.2, -1.0, 0.0]",0.4937547033174533
37,"[0.0, 0.1, 0.2, -1.0, 0.2]",0.49379702280472426
38,"[0.0, 0.1, 0.2, -1.0, 0.4]",0.49391747702337685
39,"[0.0, 0.1, 0.2, -1.0, 0.6000000000000001]",0.49397240318063007
40,"[0.0, 0.1, 0.2, -1.0, 0.8]",0.4937633685195146
41,"[0.0, 0.1, 0.2, -1.0, 1.0]",0.49319733552650763
42,"[0.0, 0.1, 0.2, -0.8, 0.0]",0.49423112307686573
43,"[0.0, 0.1, 0.2, -0.8, 0.2]",0.4942853823895056
44,"[0.0, 0.1, 0.2, -0.8, 0.4]",0.49439963773783835
45,"[0.0, 0.1, 0.2, -0.8, 0.6000000000000001]",0.49430768161494204
46,"[0.0, 0.1, 0.2, -0.8, 0.8]",0.4938528546524566
47,"[0.0, 0.1, 0.2, -0.8, 1.0]",0.49298855039245193
48,"[0.0, 0.1, 0.2, -0.6, 0.0]",0.4948456348218322
49,"[0.0, 0.1, 0.2, -0.6, 0.2]",0.49491230643740575
50,"[0.0, 0.1, 0.2, -0.6, 0.4]",0.4949306454907833
51,"[0.0, 0.1, 0.2, -0.6, 0.6000000000000001]",0.4945638897759823
52,"[0.0, 0.1, 0.2, -0.6, 0.8]",0.4937792388064227
53,"[0.0, 0.1, 0.2, -0.6, 1.0]",0.49255853973114455
54,"[0.0, 0.1, 0.2, -0.3999999999999999, 0.0]",0.4956432636524163
55,"[0.0, 0.1, 0.2, -0.3999999999999999, 0.2]",0.49568730648654613
56,"[0.0, 0.1, 0.2, -0.3999999999999999, 0.4]",0.4954015993222047
57,"[0.0, 0.1, 0.2, -0.3999999999999999, 0.6000000000000001]",0.49463103200392494
58,"[0.0, 0.1, 0.2, -0.3999999999999999, 0.8]",0.4934536531342122
59,"[0.0, 0.1, 0.2, -0.3999999999999999, 1.0]",0.4918359633597614
60,"[0.0, 0.1, 0.2, -0.19999999999999996, 0.0]",0.4966567345309935
61,"[0.0, 0.1, 0.2, -0.19999999999999996, 0.2]",0.49645083874710677
62,"[0.0, 0.1, 0.2, -0.19999999999999996, 0.4]",0.49560633125749126
63,"[0.0, 0.1, 0.2, -0.19999999999999996, 0.6000000000000001]",0.4943705119468492
64,"[0.0, 0.1, 0.2, -0.19999999999999996, 0.8]",0.4927796057670669
65,"[0.0, 0.1, 0.2, -0.19999999999999996, 1.0]",0.4907519024516866
66,"[0.0, 0.1, 0.2, 0.0, 0.0]",0.49747074827672866
67,"[0.0, 0.1, 0.2, 0.0, 0.2]",0.49665839349743074
68,"[0.0, 0.1, 0.2, 0.0, 0.4]",0.49528206646828454
69,"[0.0, 0.1, 0.2, 0.0, 0.6000000000000001]",0.49364062358759286
70,"[0.0, 0.1, 0.2, 0.0, 0.8]",0.4916680704353008
71,"[0.0, 0.1, 0.2, 0.0, 1.0]",0.48925351320376786
72,"[0.0, 0.1, 0.4, -1.0, 0.0]",0.5032193477012642
73,"[0.0, 0.1, 0.4, -1.0, 0.2]",0.5032894536233781
74,"[0.0, 0.1, 0.4, -1.0, 0.4]",0.5034859137720878
75,"[0.0, 0.1, 0.4, -1.0, 0.6000000000000001]",0.5035854719386668
76,"[0.0, 0.1, 0.4, -1.0, 0.8]",0.5033013170930987
77,"[0.0, 0.1, 0.4, -1.0, 1.0]",0.5025019612187953
78,"[0.0, 0.1, 0.4, -0.8, 0.0]",0.5040040162167936
79,"[0.0, 0.1, 0.4, -0.8, 0.2]",0.5040911516274911
80,"[0.0, 0.1, 0.4, -0.8, 0.4]",0.5042707663047353
81,"[0.0, 0.1, 0.4, -0.8, 0.6000000000000001]",0.5041479213672093
82,"[0.0, 0.1, 0.4, -0.8, 0.8]",0.5035046238891329
83,"[0.0, 0.1, 0.4, -0.8, 1.0]",0.5022715016319176
84,"[0.0, 0.1, 0.4, -0.6, 0.0]",0.504992698281084
85,"[0.0, 0.1, 0.4, -0.6, 0.2]",0.5050932402617346
86,"[0.0, 0.1, 0.4, -0.6, 0.4]",0.5051191733658217
87,"[0.0, 0.1, 0.4, -0.6, 0.6000000000000001]",0.5045932545708564
88,"[0.0, 0.1, 0.4, -0.6, 0.8]",0.5034737283301716
89,"[0.0, 0.1, 0.4, -0.6, 1.0]",0.5017215475054353
90,"[0.0, 0.1, 0.4, -0.3999999999999999, 0.0]",0.5062370842932482
91,"[0.0, 0.1, 0.4, -0.3999999999999999, 0.2]",0.5062918403714617
92,"[0.0, 0.1, 0.4, -0.3999999999999999, 0.4]",0.5058681880122863
93,"[0.0, 0.1, 0.4, -0.3999999999999999, 0.6000000000000001]",0.5047640468414545
94,"[0.0, 0.1, 0.4, -0.3999999999999999, 0.8]",0.5030805482527498
95,"[0.0, 0.1, 0.4, -0.3999999999999999, 1.0]",0.5007438496262329
96,"[0.0, 0.1, 0.4, -0.19999999999999996, 0.0]",0.5077445460933323
97,"[0.0, 0.1, 0.4, -0.19999999999999996, 0.2]",0.5074382357523962
98,"[0.0, 0.1, 0.4, -0.19999999999999996, 0.4]",0.5062244196933131
99,"[0.0, 0.1, 0.4, -0.19999999999999996, 0.6000000000000001]",0.5044639930138469
100,"[0.0, 0.1, 0.4, -0.19999999999999996, 0.8]",0.5021831414620564
101,"[0.0, 0.1, 0.4, -0.19999999999999996, 1.0]",0.49922617865242025
102,"[0.0, 0.1, 0.4, 0.0, 0.0]",0.5089314717014657
103,"[0.0, 0.1, 0.4, 0.0, 0.2]",0.5077628189439317
104,"[0.0, 0.1, 0.4, 0.0, 0.4]",0.5058226976642133
105,"[0.0, 0.1, 0.4, 0.0, 0.6000000000000001]",0.5034895885778949
106,"[0.0, 0.1, 0.4, 0.0, 0.8]",0.5006421414677473
107,"[0.0, 0.1, 0.4, 0.0, 1.0]",0.4970655517633993
108,"[0.0, 0.1, 0.6000000000000001, -1.0, 0.0]",0.52077942329046
109,"[0.0, 0.1, 0.6000000000000001, -1.0, 0.2]",0.5208828264142
110,"[0.0, 0.1, 0.6000000000000001, -1.0, 0.4]",0.5211713621022451
111,"[0.0, 0.1, 0.6000000000000001, -1.0, 0.6000000000000001]",0.521327709746424
112,"[0.0, 0.1, 0.6000000000000001, -1.0, 0.8]",0.5209575188006946
113,"[0.0, 0.1, 0.6000000000000001, -1.0, 1.0]",0.5198832216172785
114,"[0.0, 0.1, 0.6000000000000001, -0.8, 0.0]",0.5219390217947711
115,"[0.0, 0.1, 0.6000000000000001, -0.8, 0.2]",0.5220648827629515
116,"[0.0, 0.1, 0.6000000000000001, -0.8, 0.4]",0.5223250154086264
117,"[0.0, 0.1, 0.6000000000000001, -0.8, 0.6000000000000001]",0.5221690104476648
118,"[0.0, 0.1, 0.6000000000000001, -0.8, 0.8]",0.5213037119586349
119,"[0.0, 0.1, 0.6000000000000001, -0.8, 1.0]",0.5196329029490435
120,"[0.0, 0.1, 0.6000000000000001, -0.6, 0.0]",0.5233799613839005
121,"[0.0, 0.1, 0.6000000000000001, -0.6, 0.2]",0.5235206880203486
122,"[0.0, 0.1, 0.6000000000000001, -0.6, 0.4]",0.5235611402048277
123,"[0.0, 0.1, 0.6000000000000001, -0.6, 0.6000000000000001]",0.5228480310200765
124,"[0.0, 0.1, 0.6000000000000001, -0.6, 0.8]",0.5213304310808317
125,"[0.0, 0.1, 0.6000000000000001, -0.6, 1.0]",0.5189446323240366
126,"[0.0, 0.1, 0.6000000000000001, -0.3999999999999999, 0.0]",0.5251592580104119
127,"[0.0, 0.1, 0.6000000000000001, -0.3999999999999999, 0.2]",0.5252343661589645
128,"[0.0, 0.1, 0.6000000000000001, -0.3999999999999999, 0.4]",0.5246518960739875
129,"[0.0, 0.1, 0.6000000000000001, -0.3999999999999999, 0.6000000000000001]",0.5231498979007677
130,"[0.0, 0.1, 0.6000000000000001, -0.3999999999999999, 0.8]",0.5208618681512371
131,"[0.0, 0.1, 0.6000000000000001, -0.3999999999999999, 1.0]",0.5176648415645098
132,"[0.0, 0.1, 0.6000000000000001, -0.19999999999999996, 0.0]",0.5272689436107104
133,"[0.0, 0.1, 0.6000000000000001, -0.19999999999999996, 0.2]",0.5268568560132382
134,"[0.0, 0.1, 0.6000000000000001, -0.19999999999999996, 0.4]",0.5251978394215098
